num_scenarios,num_supports,framework,nvar,ncon,objective,status,total_time,solve_time,ad_time
4,25,ExaModelsMOI,1155,1260,19.7420615956226,UNKNOWN_RESULT_STATUS,0.483679092,0.365,0.033
4,50,ExaModelsMOI,1980,2160,-0.019455794978954704,UNKNOWN_RESULT_STATUS,2.508318033,2.298,0.282
4,100,ExaModelsMOI,3630,3960,-0.019001200805270874,UNKNOWN_RESULT_STATUS,3.824384224,3.282,0.522
8,100,ExaModelsMOI,7150,7920,-0.01900111473045458,UNKNOWN_RESULT_STATUS,4.424158247,3.662,0.387
128,100,ExaModelsMOI,112750,126720,-0.019001101625896105,UNKNOWN_RESULT_STATUS,31.361759708,20.86,0.532
4,25,InfiniteExaModels,1155,1260,19.742061595622598,SOLVE_SUCCEEDED,0.297243042,0.269,0.051
4,50,InfiniteExaModels,1980,2160,-0.019455794978960154,SOLVE_SUCCEEDED,2.788673273,2.76,0.436
4,100,InfiniteExaModels,3630,3960,-0.019001200784302043,SOLVE_SUCCEEDED,3.961582262,3.915,0.572
8,100,InfiniteExaModels,7150,7920,-0.019001114680186223,SOLVE_SUCCEEDED,4.41984832,4.372,0.745
128,100,InfiniteExaModels,112750,126720,-0.01900110844626978,SOLVE_SUCCEEDED,21.88858867,21.81,0.886
